filename,focalID,trial,recorder,resident,blackwidow,weight,egg_present,mated,contest_ID,contest_black,contest_weight,contest_mated,structural,gumfooted,bodyshakes,abdomenpulse,contact,time_to_contact,leg_touch,chelicerae_touch,silk_spray,silk_attempt,kerfuffle,retreat,time_to_retreat,left_web,time_to_leave_web,victory,vic_tie,Note
97t2,97,2,Cam,1,1,0.32,0,1,46,0,0.33,0,6,10,0,0,0,,0,0,0,0,0,0,,0,188,1,1,
97t2,46,2,Cam,0,0,0.33,0,0,97,1,0.32,1,6,10,0,0,0,,0,0,0,0,0,1,188,1,188,0,2,
97t1,211,1,Cam,0,1,0.35,0,0,97,1,0.36,1,2,15,0,11,1,,1,1,0,0,0,0,,0,,1,1,
97t1,97,1,Cam,1,1,0.36,0,1,211,1,0.35,0,2,15,0,21,1,,1,1,1,0,0,1,,1,,0,2,
95t5 ,217,5,Sharon,0,1,0.503,0,0,95,1,0.281,0,4,46,0,0,0,,0,0,0,0,0,0,,0,,0,0,
95t5 ,95,5,Sharon,1,1,0.281,0,0,217,1,0.503,0,4,46,21,39,0,,0,0,0,0,0,0,,0,,0,0,
95t4 ,211,4,LP,0,1,0.41,0,0,95,1,0.28,0,7,41,0,0,0,,0,0,0,0,0,0,,0,,0,0,
95t4 ,95,4,LP,1,1,0.28,0,0,211,1,0.41,0,7,41,33,23,0,,0,0,0,0,0,0,,0,,0,0,
95t3,95,3,Cam,1,1,0.461,0,0,51,0,0.14,0,29,0,5,27,0,,0,0,0,0,0,0,,0,,0,0,
95t3,51,3,Cam,0,0,0.14,0,0,95,1,0.461,0,29,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,
95t2 ,95,2,Sharon,1,1,0.48,0,0,44,0,0.28,0,14,30,0,5,0,,0,0,0,1,0,0,,0,83,1,1,
95t2 ,44,2,Sharon,0,0,0.28,0,0,95,1,0.48,0,14,30,0,0,0,,0,0,1,0,0,1,29,1,83,0,2,
94t5,94,5,Cam,1,1,0.315,0,1,14,0,0.096,0,15,19,0,0,0,,0,0,0,0,0,0,,0,,1,1,
94t5,14,5,Cam,0,0,0.096,0,0,94,1,0.315,1,15,19,0,0,0,,0,0,0,0,0,1,188,1,188,0,2,
94t4,96,4,Cam,0,1,0.68,0,0,94,1,0.36,0,13,27,14,0,0,,0,0,0,0,0,0,,0,188,0,0,
94t4,94,4,Cam,1,1,0.36,0,0,96,1,0.68,0,13,27,0,131,0,,0,0,0,0,0,0,,0,,0,0,
94t3 ,137,3,LP,0,0,0.117,0,1,94,1,0.346,1,31,7,0,0,0,,0,0,0,0,0,1,312,0,,0,0,
94t3 ,94,3,LP,1,1,0.346,0,1,137,0,0.117,1,31,7,3,1,0,,0,0,1,0,0,0,,0,,0,0,
94t2,107,2,Cam,0,1,0.3,0,0,94,1,0.39,1,16,8,23,3,1,67,1,0,0,0,0,1,251,0,,0,0,
94t2,94,2,Cam,1,1,0.39,0,1,107,1,0.3,0,16,8,0,79,1,67,1,0,0,0,0,0,,0,,0,0,
94t1,94,1,Sharon,1,1,0.44,0,1,84,0,0.41,1,7,18,2,55,0,,0,0,0,0,0,0,,0,,0,0,
94t1,84,1,Sharon,0,0,0.41,0,1,94,1,0.44,1,7,18,0,0,0,,0,0,0,0,0,0,,0,,0,0,
92t5 ,92,5,Sharon,1,1,0.323,0,1,38,0,0.198,0,1,63,3,23,0,,0,0,0,0,0,0,,0,,0,0,
92t5 ,38,5,Sharon,0,0,0.198,0,0,92,1,0.323,1,1,63,0,0,0,,0,0,0,0,0,0,,0,,0,0,
92t4 ,123,4,Sharon,0,1,0.21,0,1,92,1,0.26,1,0,39,0,0,0,,0,0,0,0,1,1,13,0,,0,0,
92t4 ,92,4,Sharon,1,1,0.26,0,1,123,1,0.21,1,0,39,31,14,0,,0,0,1,1,1,0,,0,,1,0,
92t3,92,3,Cam,1,1,0.252,0,1,79,0,0.084,1,12,38,69,30,0,,0,0,0,0,0,0,,0,,0,0,
92t3,79,3,Cam,0,0,0.084,0,1,92,1,0.252,1,12,38,0,0,0,,0,0,0,0,0,0,,0,,0,0,
92t2,114,2,Sharon,0,1,0.37,1,1,92,1,0.26,1,42,14,0,0,0,,0,0,0,0,0,1,17,1,41,0,2,
92t2,92,2,Sharon,1,1,0.26,1,1,114,1,0.37,1,42,14,8,0,0,,0,0,0,0,0,0,,0,41,1,1,
88t5,114,5,Cam,0,1,0.379,0,1,88,1,0.585,0,9,7,17,94,1,70,1,0,0,0,1,0,,0,,0,0,
88t5,88,5,Cam,1,1,0.585,0,0,114,1,0.379,1,9,7,0,51,1,70,1,0,0,0,1,0,,0,,0,0,
88t4,116,4,Cam,0,1,0.3,0,1,88,1,0.57,0,9,27,0,3,0,,0,0,0,0,0,1,148,0,,0,0,
88t4,88,4,Cam,1,1,0.57,0,0,116,1,0.3,1,9,27,2,10,0,,0,0,0,0,0,0,,0,,0,0,
88t3 ,158,3,LP,0,0,0.337,0,0,88,1,0.54,0,7,8,3,16,0,,0,0,0,0,0,0,,0,,0,0,
88t3 ,88,3,LP,1,1,0.54,0,0,158,0,0.337,0,7,8,0,0,0,,0,0,0,0,0,0,,0,,0,0,
88t2,88,2,Kyle,1,1,0.57,0,0,38,0,0.2,0,13,6,0,0,1,47,1,0,0,0,0,0,,0,,1,1,
88t2,38,2,Kyle,0,0,0.2,0,0,88,1,0.57,0,13,6,0,0,1,47,1,0,0,0,0,1,56,1,59,0,2,
88t1,118,1,Cam,0,1,0.43,0,1,88,1,0.56,0,51,8,,,1,9,1,0,0,0,0,1,35,1,42,0,2,
88t1,88,1,Cam,1,1,0.56,0,0,118,1,0.43,1,51,8,,,1,9,1,0,0,0,0,0,,0,42,1,1,
218t4 ,218,4,Sharon,1,1,0.285,0,0,2,0,0.37,0,26,33,5,39,0,,0,0,0,0,0,0,,0,,0,0,
218t4 ,2,4,Sharon,0,0,0.37,0,0,218,1,0.285,0,26,33,0,0,0,,0,0,0,0,0,0,,0,,0,0,
218t3,218,3,Cam,1,1,0.268,0,0,14,0,0.121,0,5,55,0,0,1,1,1,0,0,1,0,0,,0,2,1,1,
218t3,14,3,Cam,0,0,0.121,0,0,218,1,0.268,0,5,55,0,0,1,1,1,0,0,0,0,1,2,1,2,0,2,
218t2 ,218,2,LP,1,1,0.25,0,0,214,1,0.33,0,15,39,11,84,0,,0,0,0,0,0,0,,0,,0,0,
218t2 ,214,2,LP,0,1,0.33,0,0,218,1,0.25,0,15,39,0,0,0,,0,0,0,0,0,0,,0,,0,0,
218t1,218,1,LP,1,1,0.3,0,0,14,0,0.11,0,6,50,0,0,1,,1,0,0,1,0,0,,0,,1,1,
218t1,14,1,LP,0,0,0.11,0,0,218,1,0.3,0,6,50,0,0,1,,1,0,0,0,0,1,,1,,0,2,
207t1,207,1,Cam,1,1,0.29,0,0,105,1,0.48,0,44,8,,,1,279,1,0,0,0,0,0,,0,590,1,1,
